inspection_id,batch_id,material_id,inspection_type,reason,opened_datetime,closed_datetime,status,labour_hours,external_cost_aud,outcome
INSP00042,B004,M00131,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-12T21:26:00,2025-02-15T00:26:00,Completed,0.7,335.00,Cleared
INSP00043,B004,M00137,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-12T19:26:00,2025-02-17T21:26:00,Completed,1.3,229.88,Cleared
INSP00044,B004,M00140,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-09T22:26:00,2025-02-15T02:26:00,Completed,1.4,249.69,Cleared
INSP00045,B004,M00142,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-08T18:26:00,2025-02-12T02:26:00,Completed,0.8,199.99,Cleared
INSP00046,B004,M00144,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-11T23:26:00,2025-02-17T07:26:00,Completed,0.7,365.48,Special Handling
INSP00047,B004,M00145,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-12T16:26:00,2025-02-16T23:26:00,Completed,3.2,437.89,Cleared
INSP00048,B005,M00148,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-19T22:24:00,2025-02-25T01:24:00,Completed,3.8,361.88,Cleared
INSP00049,B005,M00149,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-17T17:24:00,2025-02-21T19:24:00,Completed,1.3,69.32,Cleared
INSP00050,B005,M00153,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-18T19:24:00,2025-02-20T01:24:00,Completed,2.6,58.29,Cleared
INSP00051,B005,M00165,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-19T17:24:00,2025-02-21T23:24:00,Completed,3.9,307.48,Special Handling
INSP00052,B005,M00167,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-18T16:24:00,2025-02-19T19:24:00,Completed,1.6,79.04,Cleared
INSP00053,B005,M00171,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-18T23:24:00,2025-02-22T07:24:00,Completed,2.0,441.65,Cleared
INSP00054,B005,M00179,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-18T22:24:00,2025-02-19T23:24:00,Completed,1.6,254.08,Special Handling
INSP00055,B005,M00180,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-16T17:24:00,2025-02-18T19:24:00,Completed,0.6,237.92,Cleared
INSP00056,B006,M00181,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-28T20:30:00,2025-03-06T00:30:00,Completed,0.6,85.64,Cleared
INSP00057,B006,M00183,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-26T23:30:00,2025-03-01T05:30:00,Completed,1.5,35.47,Cleared
INSP00058,B006,M00184,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-26T21:30:00,2025-02-28T00:30:00,Completed,3.5,319.47,Cleared
INSP00059,B006,M00185,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-02T17:30:00,2025-03-04T23:30:00,Completed,3.2,434.76,Cleared
INSP00060,B006,M00186,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-01T21:30:00,2025-03-07T05:30:00,Completed,0.8,10.80,Special Handling
INSP00061,B006,M00187,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-01T17:30:00,2025-03-06T21:30:00,Completed,0.7,51.27,Route Changed
INSP00062,B006,M00188,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-01T19:30:00,2025-03-02T22:30:00,Completed,2.2,414.85,Cleared
INSP00063,B006,M00190,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-01T01:30:00,2025-03-05T02:30:00,Completed,2.4,422.77,Cleared
INSP00064,B006,M00191,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-02T23:30:00,2025-03-05T01:30:00,Completed,3.0,411.28,Cleared
INSP00065,B006,M00192,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-26T17:30:00,2025-02-28T20:30:00,Completed,2.1,372.09,Cleared
INSP00066,B006,M00196,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-02T21:30:00,2025-03-08T02:30:00,Completed,1.7,259.73,Cleared
INSP00067,B006,M00198,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-01T19:30:00,2025-03-03T01:30:00,Completed,3.6,264.40,Cleared
INSP00068,B006,M00199,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-01T23:30:00,2025-03-04T00:30:00,Completed,1.2,295.34,Cleared
INSP00069,B006,M00200,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-02T19:30:00,2025-03-07T23:30:00,Completed,3.5,343.11,Cleared
INSP00070,B006,M00202,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-26T23:30:00,2025-03-03T06:30:00,Completed,2.2,5.66,Cleared
INSP00071,B006,M00204,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-26T20:30:00,2025-03-04T01:30:00,Completed,1.3,78.47,Special Handling
INSP00072,B006,M00205,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-26T22:30:00,2025-02-28T03:30:00,Completed,2.7,52.71,Cleared
INSP00073,B006,M00206,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-26T20:30:00,2025-03-02T03:30:00,Completed,1.9,210.05,Cleared
INSP00074,B007,M00210,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-10T20:38:00,2025-03-12T23:38:00,Completed,1.5,426.61,Cleared
INSP00075,B007,M00211,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-10T16:38:00,2025-03-11T18:38:00,Completed,2.8,130.57,Cleared
INSP00076,B007,M00215,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-06T19:38:00,2025-03-11T00:38:00,Completed,3.0,185.16,Cleared
INSP00077,B007,M00222,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-09T16:38:00,2025-03-13T20:38:00,Completed,3.8,30.27,Cleared
INSP00078,B007,M00226,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-06T21:38:00,2025-03-10T01:38:00,Completed,1.7,95.72,Special Handling
INSP00079,B007,M00229,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-06T18:38:00,2025-03-10T02:38:00,Completed,3.0,137.84,Cleared
INSP00080,B007,M00240,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-08T19:38:00,2025-03-10T20:38:00,Completed,1.1,255.34,Cleared
INSP00081,B007,M00241,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-10T21:38:00,2025-03-13T05:38:00,Completed,1.1,434.30,Cleared
INSP00082,B007,M00245,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-07T16:38:00,2025-03-10T18:38:00,Completed,3.1,391.63,Special Handling
INSP00083,B007,M00246,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-08T20:38:00,2025-03-14T00:38:00,Completed,1.8,213.48,Cleared
INSP00084,B008,M00254,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-21T20:50:00,2025-03-26T22:50:00,Completed,3.7,29.36,Cleared
INSP00085,B008,M00255,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-19T20:50:00,2025-03-22T02:50:00,Completed,2.6,122.48,Special Handling
INSP00086,B008,M00262,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-20T23:50:00,2025-03-26T04:50:00,Completed,0.7,221.19,Cleared
INSP00087,B008,M00264,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-18T18:50:00,2025-03-20T23:50:00,Completed,3.9,176.67,Cleared
INSP00088,B008,M00268,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-21T01:50:00,2025-03-26T05:50:00,Completed,1.9,158.75,Cleared
INSP00089,B008,M00273,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-20T18:50:00,2025-03-22T19:50:00,Completed,3.7,140.90,Special Handling
INSP00090,B008,M00274,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-21T19:50:00,2025-03-24T23:50:00,Completed,3.4,212.02,Cleared
INSP00091,B009,M00280,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-30T19:34:00,2025-04-02T21:34:00,Completed,2.0,232.42,Special Handling
INSP00092,B009,M00282,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-01T00:34:00,2025-04-04T06:34:00,Completed,1.9,253.87,Route Changed
INSP00093,B009,M00286,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-31T00:34:00,2025-04-02T05:34:00,Completed,1.9,255.42,Route Changed
INSP00094,B009,M00288,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-30T00:34:00,2025-03-31T07:34:00,Completed,3.9,397.58,Cleared
INSP00095,B009,M00291,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-31T18:34:00,2025-04-03T00:34:00,Completed,3.0,178.11,Cleared
INSP00096,B009,M00292,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-31T20:34:00,2025-04-01T21:34:00,Completed,3.5,104.44,Special Handling
INSP00097,B009,M00293,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-03-31T21:34:00,2025-04-05T05:34:00,Completed,3.1,124.02,Cleared
INSP00098,B009,M00294,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-03-30T20:34:00,2025-04-05T01:34:00,Completed,1.2,58.16,Cleared
INSP00099,B010,M00298,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-09T22:02:00,2025-04-13T05:02:00,Completed,0.6,155.73,Cleared
INSP00100,B010,M00301,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-07T20:02:00,2025-04-13T01:02:00,Completed,3.3,88.38,Cleared
INSP00101,B010,M00305,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-09T18:02:00,2025-04-12T23:02:00,Completed,1.0,275.41,Cleared
INSP00102,B010,M00308,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-06T22:02:00,2025-04-12T04:02:00,Completed,1.8,149.46,Cleared
INSP00103,B010,M00313,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-09T01:02:00,2025-04-11T04:02:00,Completed,1.8,437.84,Cleared
INSP00104,B010,M00314,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-06T21:02:00,2025-04-09T22:02:00,Completed,3.3,230.08,Cleared
INSP00105,B010,M00316,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-06T02:02:00,2025-04-09T03:02:00,Completed,2.2,444.85,Special Handling
INSP00106,B010,M00319,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-08T00:02:00,2025-04-10T05:02:00,Completed,2.9,36.18,Cleared
INSP00107,B010,M00325,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-08T19:02:00,2025-04-10T20:02:00,Completed,1.5,269.31,Route Changed
INSP00108,B010,M00326,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-09T19:02:00,2025-04-13T21:02:00,Completed,3.2,211.75,Cleared
INSP00109,B010,M00327,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-07T23:02:00,2025-04-09T03:02:00,Completed,2.2,259.85,Cleared
INSP00110,B010,M00329,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-07T21:02:00,2025-04-12T01:02:00,Completed,3.3,258.19,Special Handling
INSP00111,B010,M00330,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-06T20:02:00,2025-04-09T23:02:00,Completed,1.5,449.90,Cleared
INSP00112,B011,M00334,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-18T20:43:00,2025-04-21T02:43:00,Completed,1.2,63.32,Special Handling
INSP00113,B011,M00335,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-18T01:43:00,2025-04-19T02:43:00,Completed,1.6,370.15,Route Changed
INSP00114,B011,M00341,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-19T18:43:00,2025-04-23T20:43:00,Completed,0.6,223.50,Cleared
INSP00115,B011,M00343,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-22T01:43:00,2025-04-23T04:43:00,Completed,1.2,282.33,Cleared
INSP00116,B011,M00344,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-17T17:43:00,2025-04-22T19:43:00,Completed,3.8,185.34,Cleared
INSP00117,B011,M00345,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-22T00:43:00,2025-04-26T07:43:00,Completed,1.9,105.41,Cleared
INSP00118,B011,M00348,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-17T17:43:00,2025-04-23T01:43:00,Completed,2.8,201.55,Cleared
INSP00119,B011,M00352,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-19T23:43:00,2025-04-24T01:43:00,Completed,1.9,342.08,Cleared
INSP00120,B011,M00353,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-17T19:43:00,2025-04-22T01:43:00,Completed,3.2,186.83,Cleared
INSP00121,B011,M00360,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-19T00:43:00,2025-04-20T04:43:00,Completed,2.8,24.07,Cleared
INSP00122,B011,M00362,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-22T01:43:00,2025-04-26T08:43:00,Completed,3.5,162.57,Cleared
INSP00123,B011,M00363,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-18T01:43:00,2025-04-23T05:43:00,Completed,3.1,251.41,Special Handling
INSP00124,B011,M00364,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-20T18:43:00,2025-04-25T01:43:00,Completed,3.1,307.60,Cleared
INSP00125,B012,M00367,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-27T20:19:00,2025-04-30T03:19:00,Completed,3.9,146.85,Cleared
INSP00126,B012,M00371,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-01T01:19:00,2025-05-04T08:19:00,Completed,3.2,263.82,Cleared
INSP00127,B012,M00372,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-30T00:19:00,2025-05-03T05:19:00,Completed,1.1,351.44,Cleared
INSP00128,B012,M00373,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-29T21:19:00,2025-05-04T04:19:00,Completed,1.6,366.53,Special Handling
INSP00129,B012,M00374,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-30T19:19:00,2025-05-05T22:19:00,Completed,1.2,414.43,Route Changed
INSP00130,B012,M00382,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-29T22:19:00,2025-04-30T23:19:00,Completed,1.5,119.58,Route Changed
INSP00131,B012,M00384,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-28T01:19:00,2025-04-29T06:19:00,Completed,0.5,286.71,Cleared
INSP00132,B012,M00386,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-26T19:19:00,2025-04-27T22:19:00,Completed,1.4,141.79,Cleared
INSP00133,B012,M00389,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-29T02:19:00,2025-04-30T09:19:00,Completed,0.8,446.31,Cleared
INSP00134,B012,M00392,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-04-30T22:19:00,2025-05-05T23:19:00,Completed,3.5,363.94,Special Handling
INSP00135,B012,M00393,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-04-28T02:19:00,2025-05-01T07:19:00,Completed,1.4,288.83,Cleared
INSP00136,B013,M00417,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-10T16:04:00,2025-05-15T21:04:00,Completed,0.6,439.47,Cleared
INSP00137,B013,M00422,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-11T19:04:00,2025-05-12T20:04:00,Completed,3.0,289.00,Special Handling
INSP00138,B013,M00437,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-10T15:04:00,2025-05-15T20:04:00,Completed,2.9,15.50,Cleared
INSP00139,B013,M00438,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-11T17:04:00,2025-05-13T20:04:00,Completed,0.9,59.14,Cleared
INSP00140,B013,M00440,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-09T18:04:00,2025-05-13T01:04:00,Completed,2.1,443.63,Special Handling
INSP00141,B013,M00441,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-09T18:04:00,2025-05-14T22:04:00,Completed,1.8,69.17,Cleared
INSP00142,B013,M00442,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-10T19:04:00,2025-05-13T03:04:00,Completed,3.9,340.81,Cleared
INSP00143,B014,M00445,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-20T21:20:00,2025-05-23T02:20:00,Completed,3.2,202.14,Cleared
INSP00144,B014,M00446,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-18T18:20:00,2025-05-23T00:20:00,Completed,3.8,282.86,Cleared
INSP00145,B014,M00448,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-21T22:20:00,2025-05-24T00:20:00,Completed,3.6,154.67,Cleared
INSP00146,B014,M00449,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-17T15:20:00,2025-05-19T22:20:00,Completed,3.9,31.11,Special Handling
INSP00147,B014,M00450,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-21T17:20:00,2025-05-25T22:20:00,Completed,2.8,277.17,Route Changed
INSP00148,B014,M00452,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-21T15:20:00,2025-05-23T17:20:00,Completed,3.5,443.03,Cleared
INSP00149,B014,M00461,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-21T15:20:00,2025-05-24T21:20:00,Completed,3.7,270.09,Cleared
INSP00150,B014,M00463,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-20T15:20:00,2025-05-21T23:20:00,Completed,3.7,312.41,Cleared
INSP00151,B014,M00464,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-18T23:20:00,2025-05-23T03:20:00,Completed,3.7,88.28,Special Handling
INSP00152,B014,M00465,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-17T21:20:00,2025-05-22T22:20:00,Completed,1.0,5.30,Cleared
INSP00153,B015,M00477,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-28T21:11:00,2025-06-01T00:11:00,Completed,2.5,383.16,Cleared
INSP00154,B015,M00481,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-28T02:11:00,2025-05-30T06:11:00,Completed,2.2,103.02,Cleared
INSP00155,B015,M00483,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-31T20:11:00,2025-06-02T23:11:00,Completed,1.5,123.76,Special Handling
INSP00156,B015,M00484,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-29T00:11:00,2025-06-02T08:11:00,Completed,1.9,176.63,Route Changed
INSP00157,B015,M00490,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-29T01:11:00,2025-05-30T08:11:00,Completed,4.0,382.34,Cleared
INSP00158,B015,M00494,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-29T02:11:00,2025-05-30T05:11:00,Completed,3.8,165.53,Cleared
INSP00159,B015,M00496,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-31T21:11:00,2025-06-02T02:11:00,Completed,3.7,171.57,Cleared
INSP00160,B015,M00499,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-05-28T01:11:00,2025-06-01T08:11:00,Completed,2.0,281.55,Special Handling
INSP00161,B015,M00500,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-05-28T19:11:00,2025-05-30T21:11:00,Completed,2.6,318.18,Cleared
