material_id,batch_id,estimated_weight_kg,species,material_form,former_use,known_treatment_status,surface_condition,record_completeness,requires_inspection,special_handling_flag,initial_recovery_grade,recovery_grade,current_route,resolution_status,output_date
M00015,B001,1679.1,Blackbutt,Structural Member,Wall stud,Known Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-24
M00016,B001,1511.2,Radiata Pine,Structural Member,Wall stud,No Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-24
M00017,B001,210.9,Sydney Blue Gum,Board,Formwork board,Known Treatment Recorded,Fair,Critical Information Missing,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-01-24
M00018,B001,616.8,Unknown / Mixed,Post,Fence post,No Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-24
M00019,B001,2402.0,Cypress Pine,Beam,Racking beam,Conflicting Record,Poor,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-24
M00020,B001,55.3,Messmate,Flooring,Flooring strip,Adhesive / Composite Concern,Poor,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-24
M00021,B001,892.0,Oregon,Beam,Portal frame member,No Treatment Recorded,Poor,Critical Information Missing,No,No,Rustic,Feedstock,Board Feedstock,Output,2025-01-24
M00022,B001,206.7,Radiata Pine,Flooring,Decking board,Conflicting Record,Good,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00023,B001,3370.3,Ironbark,Beam,Roof beam,Unknown,Severely Degraded,Critical Information Missing,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00024,B001,2254.5,Spotted Gum,Post,Structural post,Adhesive / Composite Concern,Good,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00025,B001,244.4,Mixed Hardwood,Board,Sawn board,No Treatment Recorded,Severely Degraded,Complete,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00026,B001,148.4,Mountain Ash,Board,Fence palings,Surface Coating Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00027,B001,485.3,Mountain Ash,Board,Fence palings,Known Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00028,B001,428.6,Cypress Pine,Cladding,Weatherboard,Adhesive / Composite Concern,Fair,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00029,B001,111.3,Messmate,Board,Dunnage,No Treatment Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00030,B001,2874.5,Oregon,Structural Member,Roof rafter,Known Treatment Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00031,B001,334.1,Cypress Pine,Board,Fence palings,Known Treatment Recorded,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00032,B001,531.9,Unknown / Mixed,Board,Fence palings,Surface Coating Recorded,Poor,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-24
M00033,B001,733.0,Unknown / Mixed,Beam,Racking beam,Adhesive / Composite Concern,Fair,Complete,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-01-24
M00034,B001,1195.0,Mixed Hardwood,Mixed Salvage,Assorted recovered timber,Known Treatment Recorded,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-01-24
M00035,B002,1369.8,Cypress Pine,Beam,Racking beam,No Treatment Recorded,Poor,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00036,B002,1361.7,Blackbutt,Structural Member,Purlin,No Treatment Recorded,Poor,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00037,B002,290.4,Unknown / Mixed,Cladding,Cladding panel,Known Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00038,B002,89.4,Spotted Gum,Board,Fence palings,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00039,B002,80.9,Blackbutt,Board,Sawn board,Surface Coating Recorded,Good,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00040,B002,1653.6,Cypress Pine,Structural Member,Truss member,No Treatment Recorded,Poor,Complete,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00041,B002,2926.4,Messmate,Beam,Portal frame member,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00042,B002,2290.4,Messmate,Beam,Portal frame member,Surface Coating Recorded,Fair,Critical Information Missing,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00043,B002,215.8,Spotted Gum,Board,Fence palings,No Treatment Recorded,Good,Complete,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00044,B002,215.6,Sydney Blue Gum,Flooring,Floor board,No Treatment Recorded,Poor,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-26
M00045,B002,1874.2,Unknown / Mixed,Structural Member,Wall stud,Unknown,Poor,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00046,B002,1253.6,Mountain Ash,Post,Fence post,Conflicting Record,Fair,Complete,Yes,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00047,B002,685.4,Messmate,Structural Member,Truss member,Surface Coating Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00048,B002,2122.0,Ironbark,Beam,Racking beam,Surface Coating Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00049,B002,295.0,Messmate,Cladding,Weatherboard,No Treatment Recorded,Fair,Complete,Yes,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00050,B002,648.5,Mixed Hardwood,Post,Fence post,Known Treatment Recorded,Good,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00051,B002,179.3,Blackbutt,Cladding,Fascia board,Known Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00052,B002,577.6,Messmate,Post,Fence post,Surface Coating Recorded,Poor,Critical Information Missing,No,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00053,B002,233.0,Messmate,Board,Dunnage,No Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00054,B002,1083.4,Mixed Hardwood,Post,Structural post,Surface Coating Recorded,Good,Complete,Yes,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00055,B002,2298.0,Unknown / Mixed,Beam,Floor joist,Known Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-01-26
M00056,B002,1446.0,Mixed Hardwood,Board,Formwork board,No Treatment Recorded,Good,Complete,Yes,Yes,Character,Character,Special Handling,Output,2025-01-26
M00057,B002,1279.0,Radiata Pine,Mixed Salvage,Mixed salvage lot,Known Treatment Recorded,Poor,Partial,Yes,No,Character,Rustic,Board Feedstock,Output,2025-01-26
M00058,B002,1419.8,Sydney Blue Gum,Post,Verandah post,Known Treatment Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00059,B002,1972.8,Unknown / Mixed,Structural Member,Wall stud,Unknown,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00060,B002,115.5,Mountain Ash,Cladding,Cladding panel,No Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00061,B002,782.3,Spotted Gum,Mixed Salvage,Assorted recovered timber,Surface Coating Recorded,Good,Complete,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00062,B002,209.6,Blackbutt,Flooring,Floor board,No Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00063,B002,1389.9,Mixed Hardwood,Post,Fence post,No Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00064,B002,400.3,Ironbark,Board,Fence palings,No Treatment Recorded,Good,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00065,B002,46.6,Blackbutt,Flooring,Decking board,Known Treatment Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00066,B002,1410.7,Spotted Gum,Structural Member,Wall stud,Unknown,Fair,Complete,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00067,B002,758.4,Unknown / Mixed,Structural Member,Truss member,Known Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00068,B002,2579.1,Ironbark,Beam,Roof beam,Known Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-26
M00069,B002,544.2,Spotted Gum,Board,Dunnage,Known Treatment Recorded,Poor,Partial,Yes,No,Rustic,Feedstock,Board Feedstock,Output,2025-01-26
M00070,B002,974.8,Mountain Ash,Other,Miscellaneous timber,No Treatment Recorded,Poor,Complete,No,No,Rustic,Feedstock,Board Feedstock,Output,2025-01-26
M00071,B002,5286.9,Ironbark,Beam,Roof beam,No Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-26
M00072,B002,240.0,Messmate,Cladding,Fascia board,Surface Coating Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-26
M00073,B002,375.7,Blackbutt,Cladding,Weatherboard,No Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-26
M00074,B002,249.4,Spotted Gum,Cladding,Weatherboard,Known Treatment Recorded,Good,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-26
M00075,B002,267.3,Unknown / Mixed,Flooring,Flooring strip,Known Treatment Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-26
M00076,B002,308.4,Ironbark,Mixed Salvage,Mixed salvage lot,Surface Coating Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-26
M00077,B002,194.3,Sydney Blue Gum,Board,Fence palings,No Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-01-26
M00078,B002,1008.0,Ironbark,Structural Member,Wall stud,Adhesive / Composite Concern,Good,Complete,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-01-26
M00079,B002,1328.5,Unknown / Mixed,Post,Fence post,No Treatment Recorded,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-01-26
M00080,B002,368.5,Spotted Gum,Board,Dunnage,Conflicting Record,Severely Degraded,Complete,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-01-26
M00081,B003,672.0,Cypress Pine,Flooring,Flooring strip,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-03
M00082,B003,1531.3,Oregon,Structural Member,Roof rafter,Known Treatment Recorded,Fair,Critical Information Missing,Yes,No,Character,Character,Higher-value Recovery,Output,2025-02-03
M00083,B003,150.7,Cypress Pine,Board,Sawn board,Surface Coating Recorded,Poor,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-02-03
M00084,B003,52.0,Mountain Ash,Structural Member,Roof rafter,Adhesive / Composite Concern,Fair,Critical Information Missing,Yes,Yes,Character,Character,Special Handling,Output,2025-02-03
M00085,B003,339.0,Cypress Pine,Board,Formwork board,No Treatment Recorded,Poor,Partial,No,No,Character,Rustic,Board Feedstock,Output,2025-02-03
M00086,B003,220.2,Radiata Pine,Cladding,Fascia board,No Treatment Recorded,Good,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-03
M00087,B003,89.1,Ironbark,Flooring,Decking board,No Treatment Recorded,Poor,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-03
M00088,B003,2496.2,Radiata Pine,Structural Member,Truss member,Unknown,Good,Critical Information Missing,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-02-03
M00089,B003,1379.5,Radiata Pine,Structural Member,Purlin,Conflicting Record,Fair,Critical Information Missing,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-02-03
M00090,B003,403.0,Messmate,Board,Sawn board,Surface Coating Recorded,Poor,Critical Information Missing,No,No,Rustic,Feedstock,Board Feedstock,Output,2025-02-03
M00091,B003,481.5,Unknown / Mixed,Cladding,Fascia board,Unknown,Poor,Critical Information Missing,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00092,B003,651.2,Unknown / Mixed,Board,Dunnage,Unknown,Good,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00093,B003,485.6,Radiata Pine,Flooring,Decking board,No Treatment Recorded,Good,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00094,B003,308.4,Radiata Pine,Board,Sawn board,Conflicting Record,Poor,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00095,B003,426.3,Messmate,Flooring,Flooring strip,Surface Coating Recorded,Poor,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00096,B003,1468.4,Oregon,Post,Structural post,Known Treatment Recorded,Poor,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00097,B003,1663.2,Radiata Pine,Structural Member,Roof rafter,No Treatment Recorded,Fair,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00098,B003,768.2,Radiata Pine,Board,Formwork board,Unknown,Severely Degraded,Critical Information Missing,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00099,B003,93.5,Cypress Pine,Flooring,Decking board,Unknown,Fair,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00100,B003,204.8,Radiata Pine,Board,Formwork board,Known Treatment Recorded,Poor,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00101,B003,1293.7,Mixed Hardwood,Structural Member,Roof rafter,Unknown,Fair,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00102,B003,519.7,Oregon,Board,Dunnage,No Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00103,B003,677.2,Radiata Pine,Board,Dunnage,Surface Coating Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00104,B003,4746.3,Ironbark,Beam,Floor joist,Unknown,Good,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-03
M00105,B003,369.0,Oregon,Beam,Racking beam,Adhesive / Composite Concern,Good,Critical Information Missing,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-02-03
M00106,B003,810.0,Oregon,Structural Member,Roof rafter,Adhesive / Composite Concern,Severely Degraded,Critical Information Missing,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-02-03
M00107,B004,436.7,Unknown / Mixed,Flooring,Floor board,Known Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-19
M00108,B004,1243.0,Oregon,Flooring,Decking board,Known Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-19
M00109,B004,830.3,Mountain Ash,Flooring,Flooring strip,Conflicting Record,Poor,Complete,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-02-19
M00110,B004,1951.0,Spotted Gum,Board,Sawn board,No Treatment Recorded,Good,Critical Information Missing,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-02-19
M00111,B004,92.7,Mixed Hardwood,Flooring,Decking board,Known Treatment Recorded,Fair,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-02-19
M00112,B004,150.9,Cypress Pine,Board,Formwork board,Known Treatment Recorded,Fair,Partial,Yes,No,Character,Character,Higher-value Recovery,Output,2025-02-19
M00113,B004,2231.6,Oregon,Beam,Racking beam,Unknown,Good,Partial,Yes,No,Character,Character,Higher-value Recovery,Output,2025-02-19
M00114,B004,111.6,Oregon,Flooring,Floor board,Unknown,Fair,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-02-19
M00115,B004,1449.8,Radiata Pine,Beam,Racking beam,Known Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-19
M00116,B004,1256.2,Cypress Pine,Beam,Roof beam,No Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-19
M00117,B004,1343.2,Mixed Hardwood,Structural Member,Roof rafter,Known Treatment Recorded,Poor,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-19
M00118,B004,559.0,Ironbark,Beam,Roof beam,Surface Coating Recorded,Good,Complete,Yes,Yes,Character,Character,Special Handling,Output,2025-02-19
M00119,B004,872.0,Sydney Blue Gum,Structural Member,Wall stud,Known Treatment Recorded,Poor,Complete,No,No,Character,Rustic,Board Feedstock,Output,2025-02-19
M00120,B004,523.8,Messmate,Mixed Salvage,Mixed salvage lot,No Treatment Recorded,Poor,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00121,B004,2579.9,Oregon,Beam,Portal frame member,Surface Coating Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00122,B004,2799.1,Oregon,Beam,Racking beam,No Treatment Recorded,Poor,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00123,B004,1545.7,Sydney Blue Gum,Structural Member,Roof rafter,Surface Coating Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00124,B004,1414.2,Sydney Blue Gum,Beam,Roof beam,Known Treatment Recorded,Poor,Complete,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00125,B004,97.8,Spotted Gum,Board,Dunnage,Unknown,Fair,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00126,B004,160.0,Oregon,Cladding,Cladding panel,Adhesive / Composite Concern,Fair,Complete,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00127,B004,180.5,Cypress Pine,Flooring,Floor board,No Treatment Recorded,Fair,Partial,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00128,B004,162.6,Cypress Pine,Cladding,Fascia board,Surface Coating Recorded,Good,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00129,B004,174.4,Mixed Hardwood,Board,Dunnage,Known Treatment Recorded,Poor,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-19
M00130,B004,1035.0,Oregon,Flooring,Flooring strip,Conflicting Record,Poor,Partial,Yes,No,Rustic,Feedstock,Board Feedstock,Output,2025-02-19
M00131,B004,1126.0,Messmate,Structural Member,Truss member,No Treatment Recorded,Fair,Complete,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00132,B004,1295.3,Unknown / Mixed,Post,Verandah post,No Treatment Recorded,Fair,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00133,B004,421.8,Unknown / Mixed,Mixed Salvage,Assorted recovered timber,Surface Coating Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00134,B004,1336.5,Cypress Pine,Beam,Racking beam,Known Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00135,B004,85.8,Unknown / Mixed,Cladding,Weatherboard,Unknown,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00136,B004,159.5,Unknown / Mixed,Board,Formwork board,Surface Coating Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00137,B004,1316.6,Oregon,Structural Member,Purlin,Conflicting Record,Fair,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00138,B004,943.5,Radiata Pine,Post,Structural post,Known Treatment Recorded,Fair,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00139,B004,147.7,Mixed Hardwood,Cladding,Cladding panel,Unknown,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00140,B004,1034.6,Oregon,Post,Verandah post,Known Treatment Recorded,Good,Complete,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00141,B004,2538.1,Unknown / Mixed,Beam,Racking beam,Known Treatment Recorded,Good,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00142,B004,1867.4,Oregon,Beam,Floor joist,Surface Coating Recorded,Poor,Complete,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00143,B004,350.2,Cypress Pine,Mixed Salvage,Assorted recovered timber,No Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-02-19
M00144,B004,988.0,Sydney Blue Gum,Board,Formwork board,Conflicting Record,Fair,Critical Information Missing,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-02-19
M00145,B004,1388.0,Unknown / Mixed,Post,Fence post,Surface Coating Recorded,Severely Degraded,Complete,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-02-19
M00146,B005,159.5,Sydney Blue Gum,Board,Dunnage,Known Treatment Recorded,Good,Critical Information Missing,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00147,B005,1778.1,Mixed Hardwood,Structural Member,Purlin,Known Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00148,B005,80.3,Mountain Ash,Other,Miscellaneous timber,No Treatment Recorded,Poor,Complete,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00149,B005,1892.1,Mountain Ash,Beam,Racking beam,Known Treatment Recorded,Good,Complete,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00150,B005,531.0,Mixed Hardwood,Mixed Salvage,Assorted recovered timber,Adhesive / Composite Concern,Poor,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00151,B005,82.4,Cypress Pine,Board,Dunnage,No Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00152,B005,668.8,Blackbutt,Post,Fence post,Surface Coating Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00153,B005,2141.8,Cypress Pine,Beam,Roof beam,No Treatment Recorded,Good,Complete,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00154,B005,175.1,Ironbark,Board,Dunnage,Known Treatment Recorded,Good,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00155,B005,806.5,Sydney Blue Gum,Post,Verandah post,No Treatment Recorded,Fair,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00156,B005,2375.4,Mountain Ash,Beam,Racking beam,No Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-02-26
M00157,B005,529.7,Unknown / Mixed,Board,Fence palings,No Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-26
M00158,B005,1157.2,Blackbutt,Other,Shelving,No Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-26
M00159,B005,1988.0,Sydney Blue Gum,Structural Member,Truss member,No Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-26
M00160,B005,357.0,Ironbark,Flooring,Decking board,Known Treatment Recorded,Good,Critical Information Missing,No,No,Character,Character,Higher-value Recovery,Output,2025-02-26
M00161,B005,637.8,Ironbark,Board,Sawn board,Known Treatment Recorded,Poor,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-26
M00162,B005,2615.8,Cypress Pine,Structural Member,Wall stud,Known Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-26
M00163,B005,619.2,Spotted Gum,Board,Sawn board,Known Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-26
M00164,B005,141.3,Mountain Ash,Cladding,Cladding panel,Known Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-02-26
M00165,B005,577.0,Unknown / Mixed,Other,Joinery offcut,Adhesive / Composite Concern,Poor,Complete,Yes,Yes,Character,Character,Special Handling,Output,2025-02-26
M00166,B005,751.0,Ironbark,Structural Member,Purlin,Conflicting Record,Poor,Partial,No,No,Character,Rustic,Board Feedstock,Output,2025-02-26
M00167,B005,107.9,Spotted Gum,Board,Dunnage,Conflicting Record,Fair,Complete,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-02-26
M00168,B005,252.4,Unknown / Mixed,Flooring,Floor board,No Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-26
M00169,B005,2125.7,Blackbutt,Beam,Roof beam,No Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-02-26
