output_id,batch_id,output_date,recovery_route,recovery_grade,weight_t,unit_value_aud_per_t,gross_value_aud
OUT00069,B008,2025-04-03,Board Feedstock,Feedstock,0.691,125.00,86.38
OUT00070,B008,2025-04-03,Board Feedstock,Feedstock,8.647,125.00,1080.88
OUT00071,B008,2025-04-03,Special Handling,Feedstock,0.440,125.00,55.00
OUT00072,B008,2025-04-03,Residual / Disposal,Feedstock,0.926,125.00,115.75
OUT00073,B009,2025-04-11,Higher-value Recovery,Premium,2.232,650.00,1450.80
OUT00074,B009,2025-04-11,Higher-value Recovery,Character,3.042,450.00,1368.90
OUT00075,B009,2025-04-11,Special Handling,Character,0.559,450.00,251.55
OUT00076,B009,2025-04-11,Board Feedstock,Rustic,1.744,280.00,488.32
OUT00077,B009,2025-04-11,Board Feedstock,Rustic,2.952,280.00,826.56
OUT00078,B009,2025-04-11,Board Feedstock,Feedstock,2.071,125.00,258.88
OUT00079,B009,2025-04-11,Board Feedstock,Feedstock,3.883,125.00,485.38
OUT00080,B009,2025-04-11,Special Handling,Feedstock,1.056,125.00,132.00
OUT00081,B009,2025-04-11,Residual / Disposal,Feedstock,1.561,125.00,195.12
OUT00082,B010,2025-04-20,Higher-value Recovery,Premium,13.441,650.00,8736.65
OUT00083,B010,2025-04-20,Higher-value Recovery,Character,7.928,450.00,3567.60
OUT00084,B010,2025-04-20,Special Handling,Character,1.364,450.00,613.80
OUT00085,B010,2025-04-20,Board Feedstock,Rustic,1.648,280.00,461.44
OUT00086,B010,2025-04-20,Board Feedstock,Rustic,4.816,280.00,1348.48
OUT00087,B010,2025-04-20,Board Feedstock,Feedstock,1.957,125.00,244.62
OUT00088,B010,2025-04-20,Board Feedstock,Feedstock,2.830,125.00,353.75
OUT00089,B010,2025-04-20,Special Handling,Feedstock,0.804,125.00,100.50
OUT00090,B010,2025-04-20,Residual / Disposal,Feedstock,1.312,125.00,164.00
OUT00091,B011,2025-04-24,Higher-value Recovery,Premium,0.991,650.00,644.15
OUT00092,B011,2025-04-24,Higher-value Recovery,Character,2.444,450.00,1099.80
OUT00093,B011,2025-04-24,Special Handling,Character,0.114,450.00,51.30
OUT00094,B011,2025-04-24,Board Feedstock,Rustic,0.501,280.00,140.28
OUT00095,B011,2025-04-24,Board Feedstock,Rustic,6.173,280.00,1728.44
OUT00096,B011,2025-04-24,Board Feedstock,Feedstock,0.595,125.00,74.38
OUT00097,B011,2025-04-24,Board Feedstock,Feedstock,20.085,125.00,2510.62
OUT00098,B011,2025-04-24,Special Handling,Feedstock,0.802,125.00,100.25
OUT00099,B011,2025-04-24,Residual / Disposal,Feedstock,1.195,125.00,149.38
OUT00100,B012,2025-05-12,Higher-value Recovery,Premium,3.222,650.00,2094.30
OUT00101,B012,2025-05-12,Higher-value Recovery,Character,4.907,450.00,2208.15
OUT00102,B012,2025-05-12,Special Handling,Character,0.292,450.00,131.40
OUT00103,B012,2025-05-12,Board Feedstock,Rustic,0.630,280.00,176.40
OUT00104,B012,2025-05-12,Board Feedstock,Rustic,6.964,280.00,1949.92
OUT00105,B012,2025-05-12,Board Feedstock,Feedstock,0.748,125.00,93.50
OUT00106,B012,2025-05-12,Board Feedstock,Feedstock,9.318,125.00,1164.75
OUT00107,B012,2025-05-12,Special Handling,Feedstock,0.516,125.00,64.50
OUT00108,B012,2025-05-12,Residual / Disposal,Feedstock,1.003,125.00,125.37
OUT00109,B013,2025-05-19,Higher-value Recovery,Premium,15.890,650.00,10328.50
OUT00110,B013,2025-05-19,Higher-value Recovery,Character,11.543,450.00,5194.35
OUT00111,B013,2025-05-19,Special Handling,Character,1.274,450.00,573.30
OUT00112,B013,2025-05-19,Board Feedstock,Rustic,1.116,280.00,312.48
OUT00113,B013,2025-05-19,Board Feedstock,Rustic,8.691,280.00,2433.48
OUT00114,B013,2025-05-19,Board Feedstock,Feedstock,1.326,125.00,165.75
OUT00115,B013,2025-05-19,Board Feedstock,Feedstock,6.464,125.00,808.00
OUT00116,B013,2025-05-19,Special Handling,Feedstock,0.819,125.00,102.38
OUT00117,B013,2025-05-19,Residual / Disposal,Feedstock,1.777,125.00,222.12
OUT00118,B014,2025-05-30,Higher-value Recovery,Premium,2.475,650.00,1608.75
OUT00119,B014,2025-05-30,Higher-value Recovery,Character,3.821,450.00,1719.45
OUT00120,B014,2025-05-30,Special Handling,Character,0.172,450.00,77.40
OUT00121,B014,2025-05-30,Board Feedstock,Rustic,0.484,280.00,135.52
OUT00122,B014,2025-05-30,Board Feedstock,Rustic,5.349,280.00,1497.72
OUT00123,B014,2025-05-30,Board Feedstock,Feedstock,0.575,125.00,71.88
OUT00124,B014,2025-05-30,Board Feedstock,Feedstock,7.250,125.00,906.25
OUT00125,B014,2025-05-30,Special Handling,Feedstock,0.304,125.00,38.00
OUT00126,B014,2025-05-30,Residual / Disposal,Feedstock,0.770,125.00,96.25
OUT00127,B015,2025-06-09,Higher-value Recovery,Premium,7.865,650.00,5112.25
OUT00128,B015,2025-06-09,Higher-value Recovery,Character,8.703,450.00,3916.35
OUT00129,B015,2025-06-09,Special Handling,Character,0.812,450.00,365.40
OUT00130,B015,2025-06-09,Board Feedstock,Rustic,0.959,280.00,268.52
OUT00131,B015,2025-06-09,Board Feedstock,Rustic,8.308,280.00,2326.24
OUT00132,B015,2025-06-09,Board Feedstock,Feedstock,1.138,125.00,142.25
OUT00133,B015,2025-06-09,Board Feedstock,Feedstock,5.377,125.00,672.12
OUT00134,B015,2025-06-09,Special Handling,Feedstock,0.566,125.00,70.75
OUT00135,B015,2025-06-09,Residual / Disposal,Feedstock,1.272,125.00,159.00
OUT00136,B016,2025-06-23,Higher-value Recovery,Premium,13.850,650.00,9002.50
OUT00137,B016,2025-06-23,Higher-value Recovery,Character,8.128,450.00,3657.60
OUT00138,B016,2025-06-23,Special Handling,Character,1.448,450.00,651.60
OUT00139,B016,2025-06-23,Board Feedstock,Rustic,1.698,280.00,475.44
OUT00140,B016,2025-06-23,Board Feedstock,Rustic,4.963,280.00,1389.64
OUT00141,B016,2025-06-23,Board Feedstock,Feedstock,2.017,125.00,252.12
OUT00142,B016,2025-06-23,Board Feedstock,Feedstock,2.891,125.00,361.38
OUT00143,B016,2025-06-23,Special Handling,Feedstock,0.854,125.00,106.75
OUT00144,B016,2025-06-23,Residual / Disposal,Feedstock,1.351,125.00,168.88
OUT00145,B017,2025-07-12,Higher-value Recovery,Premium,3.305,650.00,2148.25
OUT00146,B017,2025-07-12,Higher-value Recovery,Character,4.707,450.00,2118.15
OUT00147,B017,2025-07-12,Special Handling,Character,1.263,450.00,568.35
OUT00148,B017,2025-07-12,Board Feedstock,Rustic,2.375,280.00,665.00
OUT00149,B017,2025-07-12,Board Feedstock,Rustic,9.193,280.00,2574.04
OUT00150,B017,2025-07-12,Board Feedstock,Feedstock,2.821,125.00,352.62
OUT00151,B017,2025-07-12,Board Feedstock,Feedstock,13.302,125.00,1662.75
OUT00152,B017,2025-07-12,Special Handling,Feedstock,3.988,125.00,498.50
OUT00153,B017,2025-07-12,Residual / Disposal,Feedstock,3.646,125.00,455.75
OUT00154,B018,2025-07-12,Higher-value Recovery,Premium,2.977,650.00,1935.05
OUT00155,B018,2025-07-12,Higher-value Recovery,Character,4.554,450.00,2049.30
OUT00156,B018,2025-07-12,Special Handling,Character,0.249,450.00,112.05
OUT00157,B018,2025-07-12,Board Feedstock,Rustic,0.582,280.00,162.96
OUT00158,B018,2025-07-12,Board Feedstock,Rustic,6.434,280.00,1801.52
OUT00159,B018,2025-07-12,Board Feedstock,Feedstock,0.691,125.00,86.38
OUT00160,B018,2025-07-12,Board Feedstock,Feedstock,8.647,125.00,1080.88
OUT00161,B018,2025-07-12,Special Handling,Feedstock,0.440,125.00,55.00
OUT00162,B018,2025-07-12,Residual / Disposal,Feedstock,0.926,125.00,115.75
OUT00163,B019,2025-07-12,Higher-value Recovery,Premium,0.961,650.00,624.65
OUT00164,B019,2025-07-12,Higher-value Recovery,Character,2.374,450.00,1068.30
OUT00165,B019,2025-07-12,Special Handling,Character,0.107,450.00,48.15
OUT00166,B019,2025-07-12,Board Feedstock,Rustic,0.485,280.00,135.80
OUT00167,B019,2025-07-12,Board Feedstock,Rustic,5.986,280.00,1676.08
OUT00168,B019,2025-07-12,Board Feedstock,Feedstock,0.576,125.00,72.00
OUT00169,B019,2025-07-12,Board Feedstock,Feedstock,19.498,125.00,2437.25
OUT00170,B019,2025-07-12,Special Handling,Feedstock,0.754,125.00,94.25
OUT00171,B019,2025-07-12,Residual / Disposal,Feedstock,1.159,125.00,144.88
OUT00172,B020,2025-07-29,Higher-value Recovery,Premium,3.351,650.00,2178.15
OUT00173,B020,2025-07-29,Higher-value Recovery,Character,5.091,450.00,2290.95
OUT00174,B020,2025-07-29,Special Handling,Character,0.315,450.00,141.75
OUT00175,B020,2025-07-29,Board Feedstock,Rustic,0.655,280.00,183.40
OUT00176,B020,2025-07-29,Board Feedstock,Rustic,7.241,280.00,2027.48
OUT00177,B020,2025-07-29,Board Feedstock,Feedstock,0.778,125.00,97.25
OUT00178,B020,2025-07-29,Board Feedstock,Feedstock,9.668,125.00,1208.50
OUT00179,B020,2025-07-29,Special Handling,Feedstock,0.558,125.00,69.75
OUT00180,B020,2025-07-29,Residual / Disposal,Feedstock,1.043,125.00,130.38
OUT00181,B021,2025-08-03,Higher-value Recovery,Premium,10.270,650.00,6675.50
OUT00182,B021,2025-08-03,Higher-value Recovery,Character,11.039,450.00,4967.55
OUT00183,B021,2025-08-03,Special Handling,Character,1.385,450.00,623.25
OUT00184,B021,2025-08-03,Board Feedstock,Rustic,1.252,280.00,350.56
OUT00185,B021,2025-08-03,Board Feedstock,Rustic,10.847,280.00,3037.16
OUT00186,B021,2025-08-03,Board Feedstock,Feedstock,1.487,125.00,185.88
OUT00187,B021,2025-08-03,Board Feedstock,Feedstock,6.795,125.00,849.38
OUT00188,B021,2025-08-03,Special Handling,Feedstock,0.965,125.00,120.62
OUT00189,B021,2025-08-03,Residual / Disposal,Feedstock,1.660,125.00,207.50
OUT00190,B022,2025-08-15,Higher-value Recovery,Premium,12.770,650.00,8300.50
OUT00191,B022,2025-08-15,Higher-value Recovery,Character,9.478,450.00,4265.10
OUT00192,B022,2025-08-15,Special Handling,Character,0.823,450.00,370.35
OUT00193,B022,2025-08-15,Board Feedstock,Rustic,0.897,280.00,251.16
OUT00194,B022,2025-08-15,Board Feedstock,Rustic,6.985,280.00,1955.80
OUT00195,B022,2025-08-15,Board Feedstock,Feedstock,1.065,125.00,133.12
OUT00196,B022,2025-08-15,Board Feedstock,Feedstock,5.325,125.00,665.62
OUT00197,B022,2025-08-15,Special Handling,Feedstock,0.529,125.00,66.12
OUT00198,B022,2025-08-15,Residual / Disposal,Feedstock,1.428,125.00,178.50
OUT00199,B023,2025-09-08,Higher-value Recovery,Premium,1.971,650.00,1281.15
OUT00200,B023,2025-09-08,Higher-value Recovery,Character,3.112,450.00,1400.40
OUT00201,B023,2025-09-08,Special Handling,Character,0.449,450.00,202.05
OUT00202,B023,2025-09-08,Board Feedstock,Rustic,1.417,280.00,396.76
OUT00203,B023,2025-09-08,Board Feedstock,Rustic,5.482,280.00,1534.96
OUT00204,B023,2025-09-08,Board Feedstock,Feedstock,1.682,125.00,210.25
OUT00205,B023,2025-09-08,Board Feedstock,Feedstock,8.894,125.00,1111.75
OUT00206,B023,2025-09-08,Special Handling,Feedstock,1.419,125.00,177.38
OUT00207,B023,2025-09-08,Residual / Disposal,Feedstock,2.174,125.00,271.75
OUT00208,B024,2025-09-10,Higher-value Recovery,Premium,3.841,650.00,2496.65
OUT00209,B024,2025-09-10,Higher-value Recovery,Character,5.783,450.00,2602.35
OUT00210,B024,2025-09-10,Special Handling,Character,0.414,450.00,186.30
OUT00211,B024,2025-09-10,Board Feedstock,Rustic,0.751,280.00,210.28
OUT00212,B024,2025-09-10,Board Feedstock,Rustic,8.301,280.00,2324.28
OUT00213,B024,2025-09-10,Board Feedstock,Feedstock,0.892,125.00,111.50
OUT00214,B024,2025-09-10,Board Feedstock,Feedstock,10.990,125.00,1373.75
OUT00215,B024,2025-09-10,Special Handling,Feedstock,0.733,125.00,91.62
OUT00216,B024,2025-09-10,Residual / Disposal,Feedstock,1.195,125.00,149.38
OUT00217,B025,2025-09-25,Higher-value Recovery,Premium,13.032,650.00,8470.80
OUT00218,B025,2025-09-25,Higher-value Recovery,Character,7.727,450.00,3477.15
OUT00219,B025,2025-09-25,Special Handling,Character,1.282,450.00,576.90
OUT00220,B025,2025-09-25,Board Feedstock,Rustic,1.598,280.00,447.44
OUT00221,B025,2025-09-25,Board Feedstock,Rustic,4.669,280.00,1307.32
OUT00222,B025,2025-09-25,Board Feedstock,Feedstock,1.897,125.00,237.12
OUT00223,B025,2025-09-25,Board Feedstock,Feedstock,2.767,125.00,345.88
OUT00224,B025,2025-09-25,Special Handling,Feedstock,0.756,125.00,94.50
OUT00225,B025,2025-09-25,Residual / Disposal,Feedstock,1.272,125.00,159.00
OUT00226,B026,2025-09-29,Higher-value Recovery,Premium,2.851,650.00,1853.15
OUT00227,B026,2025-09-29,Higher-value Recovery,Character,3.687,450.00,1659.15
OUT00228,B026,2025-09-29,Special Handling,Character,0.913,450.00,410.85
OUT00229,B026,2025-09-29,Board Feedstock,Rustic,2.228,280.00,623.84
OUT00230,B026,2025-09-29,Board Feedstock,Rustic,3.771,280.00,1055.88
OUT00231,B026,2025-09-29,Board Feedstock,Feedstock,2.646,125.00,330.75
OUT00232,B026,2025-09-29,Board Feedstock,Feedstock,4.585,125.00,573.12
OUT00233,B026,2025-09-29,Special Handling,Feedstock,1.724,125.00,215.50
OUT00234,B026,2025-09-29,Residual / Disposal,Feedstock,1.995,125.00,249.38
OUT00235,B027,2025-12-03,Higher-value Recovery,Premium,4.917,650.00,3196.05
OUT00236,B027,2025-12-03,Higher-value Recovery,Character,4.790,450.00,2155.50
OUT00237,B027,2025-12-03,Special Handling,Character,0.921,450.00,414.45
OUT00238,B027,2025-12-03,Board Feedstock,Rustic,1.811,280.00,507.08
OUT00239,B027,2025-12-03,Board Feedstock,Rustic,6.134,280.00,1717.52
OUT00240,B027,2025-12-03,Board Feedstock,Feedstock,2.150,125.00,268.75
OUT00241,B027,2025-12-03,Board Feedstock,Feedstock,8.524,125.00,1065.50
OUT00242,B027,2025-12-03,Special Handling,Feedstock,1.974,125.00,246.75
OUT00243,B027,2025-12-03,Residual / Disposal,Feedstock,2.779,125.00,347.38
OUT00244,B028,2025-10-12,Higher-value Recovery,Premium,1.247,650.00,810.55
OUT00245,B028,2025-10-12,Higher-value Recovery,Character,3.039,450.00,1367.55
OUT00246,B028,2025-10-12,Special Handling,Character,0.181,450.00,81.45
OUT00247,B028,2025-10-12,Board Feedstock,Rustic,0.630,280.00,176.40
OUT00248,B028,2025-10-12,Board Feedstock,Rustic,7.768,280.00,2175.04
OUT00249,B028,2025-10-12,Board Feedstock,Feedstock,0.748,125.00,93.50
OUT00250,B028,2025-10-12,Board Feedstock,Feedstock,25.013,125.00,3126.62
OUT00251,B028,2025-10-12,Special Handling,Feedstock,1.270,125.00,158.75
OUT00252,B028,2025-10-12,Residual / Disposal,Feedstock,1.504,125.00,188.00
OUT00253,B029,2025-10-28,Higher-value Recovery,Premium,5.258,650.00,3417.70
OUT00254,B029,2025-10-28,Higher-value Recovery,Character,5.999,450.00,2699.55
OUT00255,B029,2025-10-28,Special Handling,Character,0.363,450.00,163.35
OUT00256,B029,2025-10-28,Board Feedstock,Rustic,0.641,280.00,179.48
OUT00257,B029,2025-10-28,Board Feedstock,Rustic,5.554,280.00,1555.12
OUT00258,B029,2025-10-28,Board Feedstock,Feedstock,0.761,125.00,95.12
OUT00259,B029,2025-10-28,Board Feedstock,Feedstock,3.721,125.00,465.12
OUT00260,B029,2025-10-28,Special Handling,Feedstock,0.253,125.00,31.62
OUT00261,B029,2025-10-28,Residual / Disposal,Feedstock,0.850,125.00,106.25
OUT00262,B031,2025-11-24,Higher-value Recovery,Premium,4.098,650.00,2663.70
OUT00263,B031,2025-11-24,Higher-value Recovery,Character,6.139,450.00,2762.55
OUT00264,B031,2025-11-24,Special Handling,Character,0.472,450.00,212.40
OUT00265,B031,2025-11-24,Board Feedstock,Rustic,0.801,280.00,224.28
OUT00266,B031,2025-11-24,Board Feedstock,Rustic,8.857,280.00,2479.96
OUT00267,B031,2025-11-24,Board Feedstock,Feedstock,0.951,125.00,118.88
OUT00268,B031,2025-11-24,Board Feedstock,Feedstock,11.673,125.00,1459.12
OUT00269,B031,2025-11-24,Special Handling,Feedstock,0.834,125.00,104.25
OUT00270,B031,2025-11-24,Residual / Disposal,Feedstock,1.275,125.00,159.38
