event_id,batch_id,stage,start_datetime,end_datetime,weight_in_t,weight_out_t,labour_hours,machine_hours,status
PE0403,B004,Inspection Hold,2025-02-12T07:26:00,2025-02-14T07:26:00,38.20,38.20,11.5,0.0,Completed
PE0404,B004,Processing,2025-02-15T07:26:00,2025-02-19T15:00:00,38.20,38.20,0.0,43.9,Completed
PE0405,B004,Grading,2025-02-18T15:00:00,2025-02-19T15:00:00,38.20,38.20,2.0,0.0,Completed
PE0406,B004,Output,2025-02-19T15:00:00,2025-02-19T18:00:00,38.20,38.20,1.0,0.0,Completed
PE0501,B005,Intake,2025-02-15T08:24:00,2025-02-15T14:24:00,32.90,32.90,1.0,0.0,Completed
PE0502,B005,Sorting,2025-02-15T14:24:00,2025-02-19T08:24:00,32.90,32.90,26.3,0.0,Completed
PE0503,B005,Inspection Hold,2025-02-19T08:24:00,2025-02-21T08:24:00,32.90,32.90,5.9,0.0,Completed
PE0504,B005,Processing,2025-02-22T08:24:00,2025-02-26T15:00:00,32.90,32.90,0.0,37.8,Completed
PE0505,B005,Grading,2025-02-25T15:00:00,2025-02-26T15:00:00,32.90,32.90,2.0,0.0,Completed
PE0506,B005,Output,2025-02-26T15:00:00,2025-02-26T18:00:00,32.90,32.90,1.0,0.0,Completed
PE0601,B006,Intake,2025-02-25T09:30:00,2025-02-25T15:30:00,26.60,26.60,1.0,0.0,Completed
PE0602,B006,Sorting,2025-02-25T15:30:00,2025-03-06T09:30:00,26.60,26.60,66.5,0.0,Completed
PE0603,B006,Inspection Hold,2025-03-06T09:30:00,2025-03-08T09:30:00,26.60,26.60,23.9,0.0,Completed
PE0604,B006,Processing,2025-03-09T09:30:00,2025-03-27T15:00:00,26.60,26.60,0.0,30.6,Completed
PE0605,B006,Grading,2025-03-26T15:00:00,2025-03-27T15:00:00,26.60,26.60,2.0,0.0,Completed
PE0606,B006,Output,2025-03-27T15:00:00,2025-03-27T18:00:00,26.60,26.60,1.0,0.0,Completed
PE0701,B007,Intake,2025-03-05T07:38:00,2025-03-05T13:38:00,40.40,40.40,1.0,0.0,Completed
PE0702,B007,Sorting,2025-03-05T13:38:00,2025-03-10T07:38:00,40.40,40.40,34.3,0.0,Completed
PE0703,B007,Inspection Hold,2025-03-10T07:38:00,2025-03-12T07:38:00,40.40,40.40,8.1,0.0,Completed
PE0704,B007,Processing,2025-03-13T07:38:00,2025-03-15T15:00:00,40.40,40.40,0.0,46.5,Completed
PE0705,B007,Grading,2025-03-14T15:00:00,2025-03-15T15:00:00,40.40,40.40,2.0,0.0,Completed
PE0706,B007,Output,2025-03-15T15:00:00,2025-03-15T18:00:00,40.40,40.40,1.0,0.0,Completed
PE0801,B008,Intake,2025-03-16T09:50:00,2025-03-16T15:50:00,25.50,25.50,1.0,0.0,Completed
PE0802,B008,Sorting,2025-03-16T15:50:00,2025-03-20T09:50:00,25.50,25.50,25.5,0.0,Completed
PE0803,B008,Inspection Hold,2025-03-20T09:50:00,2025-03-22T09:50:00,25.50,25.50,7.6,0.0,Completed
PE0804,B008,Processing,2025-03-23T09:50:00,2025-04-03T15:00:00,25.50,25.50,0.0,29.3,Completed
PE0805,B008,Grading,2025-04-02T15:00:00,2025-04-03T15:00:00,25.50,25.50,2.0,0.0,Completed
PE0806,B008,Output,2025-04-03T15:00:00,2025-04-03T18:00:00,25.50,25.50,1.0,0.0,Completed
PE0901,B009,Intake,2025-03-26T10:34:00,2025-03-26T16:34:00,19.10,19.10,1.0,0.0,Completed
PE0902,B009,Sorting,2025-03-26T16:34:00,2025-03-30T10:34:00,19.10,19.10,26.7,0.0,Completed
PE0903,B009,Inspection Hold,2025-03-30T10:34:00,2025-04-01T10:34:00,19.10,19.10,6.7,0.0,Completed
PE0904,B009,Processing,2025-04-02T10:34:00,2025-04-11T15:00:00,19.10,19.10,0.0,22.0,Completed
PE0905,B009,Grading,2025-04-10T15:00:00,2025-04-11T15:00:00,19.10,19.10,2.0,0.0,Completed
PE0906,B009,Output,2025-04-11T15:00:00,2025-04-11T18:00:00,19.10,19.10,1.0,0.0,Completed
PE1001,B010,Intake,2025-04-04T10:02:00,2025-04-04T16:02:00,36.10,36.10,1.0,0.0,Completed
PE1002,B010,Sorting,2025-04-04T16:02:00,2025-04-12T10:02:00,36.10,36.10,61.4,0.0,Completed
PE1003,B010,Inspection Hold,2025-04-12T10:02:00,2025-04-14T10:02:00,36.10,36.10,16.2,0.0,Completed
PE1004,B010,Processing,2025-04-15T10:02:00,2025-04-20T15:00:00,36.10,36.10,0.0,41.5,Completed
PE1005,B010,Grading,2025-04-19T15:00:00,2025-04-20T15:00:00,36.10,36.10,2.0,0.0,Completed
PE1006,B010,Output,2025-04-20T15:00:00,2025-04-20T18:00:00,36.10,36.10,1.0,0.0,Completed
PE1101,B011,Intake,2025-04-16T09:43:00,2025-04-16T15:43:00,32.90,32.90,1.0,0.0,Completed
PE1102,B011,Sorting,2025-04-16T15:43:00,2025-04-18T09:43:00,32.90,32.90,14.8,0.0,Completed
PE1103,B011,Inspection Hold,2025-04-18T09:43:00,2025-04-20T09:43:00,32.90,32.90,3.3,0.0,Completed
PE1104,B011,Processing,2025-04-21T09:43:00,2025-04-24T15:00:00,32.90,32.90,0.0,37.8,Completed
PE1105,B011,Grading,2025-04-23T15:00:00,2025-04-24T15:00:00,32.90,32.90,2.0,0.0,Completed
PE1106,B011,Output,2025-04-24T15:00:00,2025-04-24T18:00:00,32.90,32.90,1.0,0.0,Completed
PE1201,B012,Intake,2025-04-25T10:19:00,2025-04-25T16:19:00,27.60,27.60,1.0,0.0,Completed
PE1202,B012,Sorting,2025-04-25T16:19:00,2025-04-29T10:19:00,27.60,27.60,27.6,0.0,Completed
PE1203,B012,Inspection Hold,2025-04-29T10:19:00,2025-05-01T10:19:00,27.60,27.60,8.3,0.0,Completed
PE1204,B012,Processing,2025-05-02T10:19:00,2025-05-12T15:00:00,27.60,27.60,0.0,31.7,Completed
PE1205,B012,Grading,2025-05-11T15:00:00,2025-05-12T15:00:00,27.60,27.60,2.0,0.0,Completed
PE1206,B012,Output,2025-05-12T15:00:00,2025-05-12T18:00:00,27.60,27.60,1.0,0.0,Completed
PE1301,B013,Intake,2025-05-06T07:04:00,2025-05-06T13:04:00,48.90,48.90,1.0,0.0,Completed
PE1302,B013,Sorting,2025-05-06T13:04:00,2025-05-11T07:04:00,48.90,48.90,39.1,0.0,Completed
PE1303,B013,Inspection Hold,2025-05-11T07:04:00,2025-05-13T07:04:00,48.90,48.90,8.8,0.0,Completed
PE1304,B013,Processing,2025-05-14T07:04:00,2025-05-19T15:00:00,48.90,48.90,0.0,56.2,Completed
PE1305,B013,Grading,2025-05-18T15:00:00,2025-05-19T15:00:00,48.90,48.90,2.0,0.0,Completed
PE1306,B013,Output,2025-05-19T15:00:00,2025-05-19T18:00:00,48.90,48.90,1.0,0.0,Completed
PE1401,B014,Intake,2025-05-16T07:20:00,2025-05-16T13:20:00,21.20,21.20,1.0,0.0,Completed
PE1402,B014,Sorting,2025-05-16T13:20:00,2025-05-19T07:20:00,21.20,21.20,21.2,0.0,Completed
PE1403,B014,Inspection Hold,2025-05-19T07:20:00,2025-05-21T07:20:00,21.20,21.20,6.4,0.0,Completed
PE1404,B014,Processing,2025-05-22T07:20:00,2025-05-30T15:00:00,21.20,21.20,0.0,24.4,Completed
PE1405,B014,Grading,2025-05-29T15:00:00,2025-05-30T15:00:00,21.20,21.20,2.0,0.0,Completed
PE1406,B014,Output,2025-05-30T15:00:00,2025-05-30T18:00:00,21.20,21.20,1.0,0.0,Completed
PE1501,B015,Intake,2025-05-26T10:11:00,2025-05-26T16:11:00,35.00,35.00,1.0,0.0,Completed
PE1502,B015,Sorting,2025-05-26T16:11:00,2025-05-30T10:11:00,35.00,35.00,29.8,0.0,Completed
PE1503,B015,Inspection Hold,2025-05-30T10:11:00,2025-06-01T10:11:00,35.00,35.00,7.0,0.0,Completed
PE1504,B015,Processing,2025-06-02T10:11:00,2025-06-09T15:00:00,35.00,35.00,0.0,40.2,Completed
PE1505,B015,Grading,2025-06-08T15:00:00,2025-06-09T15:00:00,35.00,35.00,2.0,0.0,Completed
PE1506,B015,Output,2025-06-09T15:00:00,2025-06-09T18:00:00,35.00,35.00,1.0,0.0,Completed
PE1601,B016,Intake,2025-06-04T08:18:00,2025-06-04T14:18:00,37.20,37.20,1.0,0.0,Completed
PE1602,B016,Sorting,2025-06-04T14:18:00,2025-06-12T08:18:00,37.20,37.20,63.2,0.0,Completed
PE1603,B016,Inspection Hold,2025-06-12T08:18:00,2025-06-14T08:18:00,37.20,37.20,16.7,0.0,Completed
PE1604,B016,Processing,2025-06-15T08:18:00,2025-06-23T15:00:00,37.20,37.20,0.0,42.8,Completed
PE1605,B016,Grading,2025-06-22T15:00:00,2025-06-23T15:00:00,37.20,37.20,2.0,0.0,Completed
PE1606,B016,Output,2025-06-23T15:00:00,2025-06-23T18:00:00,37.20,37.20,1.0,0.0,Completed
PE1701,B017,Intake,2025-06-15T07:18:00,2025-06-15T13:18:00,44.60,44.60,1.0,0.0,Completed
PE1702,B017,Sorting,2025-06-15T13:18:00,2025-06-29T07:18:00,44.60,44.60,111.5,0.0,Completed
PE1703,B017,Inspection Hold,2025-06-29T07:18:00,2025-07-01T07:18:00,44.60,44.60,40.1,0.0,Completed
PE1704,B017,Processing,2025-07-02T07:18:00,2025-07-12T15:00:00,44.60,44.60,0.0,51.3,Completed
PE1705,B017,Grading,2025-07-11T15:00:00,2025-07-12T15:00:00,44.60,44.60,2.0,0.0,Completed
PE1706,B017,Output,2025-07-12T15:00:00,2025-07-12T18:00:00,44.60,44.60,1.0,0.0,Completed
PE1801,B018,Intake,2025-06-25T08:26:00,2025-06-25T14:26:00,25.50,25.50,1.0,0.0,Completed
PE1802,B018,Sorting,2025-06-25T14:26:00,2025-06-29T08:26:00,25.50,25.50,25.5,0.0,Completed
PE1803,B018,Inspection Hold,2025-06-29T08:26:00,2025-07-01T08:26:00,25.50,25.50,7.6,0.0,Completed
PE1804,B018,Processing,2025-07-02T08:26:00,2025-07-12T15:00:00,25.50,25.50,0.0,29.3,Completed
PE1805,B018,Grading,2025-07-11T15:00:00,2025-07-12T15:00:00,25.50,25.50,2.0,0.0,Completed
PE1806,B018,Output,2025-07-12T15:00:00,2025-07-12T18:00:00,25.50,25.50,1.0,0.0,Completed
PE1901,B019,Intake,2025-07-02T10:20:00,2025-07-02T16:20:00,31.90,31.90,1.0,0.0,Completed
PE1902,B019,Sorting,2025-07-02T16:20:00,2025-07-04T10:20:00,31.90,31.90,14.4,0.0,Completed
PE1903,B019,Inspection Hold,2025-07-04T10:20:00,2025-07-06T10:20:00,31.90,31.90,3.2,0.0,Completed
PE1904,B019,Processing,2025-07-07T10:20:00,2025-07-12T15:00:00,31.90,31.90,0.0,36.7,Completed
PE1905,B019,Grading,2025-07-11T15:00:00,2025-07-12T15:00:00,31.90,31.90,2.0,0.0,Completed
PE1906,B019,Output,2025-07-12T15:00:00,2025-07-12T18:00:00,31.90,31.90,1.0,0.0,Completed
PE2001,B020,Intake,2025-07-13T07:44:00,2025-07-13T13:44:00,28.70,28.70,1.0,0.0,Completed
PE2002,B020,Sorting,2025-07-13T13:44:00,2025-07-17T07:44:00,28.70,28.70,28.7,0.0,Completed
PE2003,B020,Inspection Hold,2025-07-17T07:44:00,2025-07-19T07:44:00,28.70,28.70,8.6,0.0,Completed
PE2004,B020,Processing,2025-07-20T07:44:00,2025-07-29T15:00:00,28.70,28.70,0.0,33.0,Completed
PE2005,B020,Grading,2025-07-28T15:00:00,2025-07-29T15:00:00,28.70,28.70,2.0,0.0,Completed
PE2006,B020,Output,2025-07-29T15:00:00,2025-07-29T18:00:00,28.70,28.70,1.0,0.0,Completed
PE2101,B021,Intake,2025-07-23T10:43:00,2025-07-23T16:43:00,45.70,45.70,1.0,0.0,Completed
PE2102,B021,Sorting,2025-07-23T16:43:00,2025-07-28T10:43:00,45.70,45.70,38.8,0.0,Completed
PE2103,B021,Inspection Hold,2025-07-28T10:43:00,2025-07-30T10:43:00,45.70,45.70,9.1,0.0,Completed
PE2104,B021,Processing,2025-07-31T10:43:00,2025-08-03T15:00:00,45.70,45.70,0.0,52.6,Completed
PE2105,B021,Grading,2025-08-02T15:00:00,2025-08-03T15:00:00,45.70,45.70,2.0,0.0,Completed
PE2106,B021,Output,2025-08-03T15:00:00,2025-08-03T18:00:00,45.70,45.70,1.0,0.0,Completed
PE2201,B022,Intake,2025-08-04T10:46:00,2025-08-04T16:46:00,39.30,39.30,1.0,0.0,Completed
PE2202,B022,Sorting,2025-08-04T16:46:00,2025-08-08T10:46:00,39.30,39.30,31.4,0.0,Completed
PE2203,B022,Inspection Hold,2025-08-08T10:46:00,2025-08-10T10:46:00,39.30,39.30,7.1,0.0,Completed
PE2204,B022,Processing,2025-08-11T10:46:00,2025-08-15T15:00:00,39.30,39.30,0.0,45.2,Completed
PE2205,B022,Grading,2025-08-14T15:00:00,2025-08-15T15:00:00,39.30,39.30,2.0,0.0,Completed
PE2206,B022,Output,2025-08-15T15:00:00,2025-08-15T18:00:00,39.30,39.30,1.0,0.0,Completed
PE2301,B023,Intake,2025-08-14T07:50:00,2025-08-14T13:50:00,26.60,26.60,1.0,0.0,Completed
PE2302,B023,Sorting,2025-08-14T13:50:00,2025-08-23T07:50:00,26.60,26.60,66.5,0.0,Completed
PE2303,B023,Inspection Hold,2025-08-23T07:50:00,2025-08-25T07:50:00,26.60,26.60,23.9,0.0,Completed
PE2304,B023,Processing,2025-08-26T07:50:00,2025-09-08T15:00:00,26.60,26.60,0.0,30.6,Completed
PE2305,B023,Grading,2025-09-07T15:00:00,2025-09-08T15:00:00,26.60,26.60,2.0,0.0,Completed
PE2306,B023,Output,2025-09-08T15:00:00,2025-09-08T18:00:00,26.60,26.60,1.0,0.0,Completed
PE2401,B024,Intake,2025-08-26T09:12:00,2025-08-26T15:12:00,32.90,32.90,1.0,0.0,Completed
PE2402,B024,Sorting,2025-08-26T15:12:00,2025-08-31T09:12:00,32.90,32.90,32.9,0.0,Completed
PE2403,B024,Inspection Hold,2025-08-31T09:12:00,2025-09-02T09:12:00,32.90,32.90,9.9,0.0,Completed
PE2404,B024,Processing,2025-09-03T09:12:00,2025-09-10T15:00:00,32.90,32.90,0.0,37.8,Completed
PE2405,B024,Grading,2025-09-09T15:00:00,2025-09-10T15:00:00,32.90,32.90,2.0,0.0,Completed
PE2406,B024,Output,2025-09-10T15:00:00,2025-09-10T18:00:00,32.90,32.90,1.0,0.0,Completed
PE2501,B025,Intake,2025-09-05T07:33:00,2025-09-05T13:33:00,35.00,35.00,1.0,0.0,Completed
PE2502,B025,Sorting,2025-09-05T13:33:00,2025-09-13T07:33:00,35.00,35.00,59.5,0.0,Completed
PE2503,B025,Inspection Hold,2025-09-13T07:33:00,2025-09-15T07:33:00,35.00,35.00,15.8,0.0,Completed
PE2504,B025,Processing,2025-09-16T07:33:00,2025-09-25T15:00:00,35.00,35.00,0.0,40.2,Completed
PE2505,B025,Grading,2025-09-24T15:00:00,2025-09-25T15:00:00,35.00,35.00,2.0,0.0,Completed
PE2506,B025,Output,2025-09-25T15:00:00,2025-09-25T18:00:00,35.00,35.00,1.0,0.0,Completed
PE2601,B026,Intake,2025-09-14T07:23:00,2025-09-14T13:23:00,24.40,24.40,1.0,0.0,Completed
PE2602,B026,Sorting,2025-09-14T13:23:00,2025-09-19T07:23:00,24.40,24.40,34.2,0.0,Completed
PE2603,B026,Inspection Hold,2025-09-19T07:23:00,2025-09-21T07:23:00,24.40,24.40,8.5,0.0,Completed
PE2604,B026,Processing,2025-09-22T07:23:00,2025-09-29T15:00:00,24.40,24.40,0.0,28.1,Completed
PE2605,B026,Grading,2025-09-28T15:00:00,2025-09-29T15:00:00,24.40,24.40,2.0,0.0,Completed
PE2606,B026,Output,2025-09-29T15:00:00,2025-09-29T18:00:00,24.40,24.40,1.0,0.0,Completed
PE2701,B027,Intake,2025-09-28T08:49:00,2025-09-28T14:49:00,34.00,34.00,1.0,0.0,Completed
PE2702,B027,Sorting,2025-09-28T14:49:00,2025-10-04T08:49:00,34.00,34.00,40.8,0.0,Completed
PE2703,B027,Inspection Hold,2025-10-04T08:49:00,2025-10-06T08:49:00,34.00,34.00,37.4,0.0,Completed
PE2704,B027,Processing,2025-10-07T08:49:00,2025-12-03T15:00:00,34.00,34.00,0.0,39.1,Completed
PE2705,B027,Grading,2025-12-02T15:00:00,2025-12-03T15:00:00,34.00,34.00,2.0,0.0,Completed
PE2706,B027,Output,2025-12-03T15:00:00,2025-12-03T18:00:00,34.00,34.00,1.0,0.0,Completed
PE2801,B028,Intake,2025-10-05T10:30:00,2025-10-05T16:30:00,41.40,41.40,1.0,0.0,Completed
PE2802,B028,Sorting,2025-10-05T16:30:00,2025-10-08T10:30:00,41.40,41.40,18.6,0.0,Completed
PE2803,B028,Inspection Hold,2025-10-08T10:30:00,2025-10-10T10:30:00,41.40,41.40,4.1,0.0,Completed
PE2804,B028,Processing,2025-10-11T10:30:00,2025-10-12T15:00:00,41.40,41.40,0.0,47.6,Completed
PE2805,B028,Grading,2025-10-11T15:00:00,2025-10-12T15:00:00,41.40,41.40,2.0,0.0,Completed
PE2806,B028,Output,2025-10-12T15:00:00,2025-10-12T18:00:00,41.40,41.40,1.0,0.0,Completed
PE2901,B029,Intake,2025-10-14T10:33:00,2025-10-14T16:33:00,23.40,23.40,1.0,0.0,Completed
PE2902,B029,Sorting,2025-10-14T16:33:00,2025-10-17T10:33:00,23.40,23.40,19.9,0.0,Completed
PE2903,B029,Inspection Hold,2025-10-17T10:33:00,2025-10-19T10:33:00,23.40,23.40,4.7,0.0,Completed
PE2904,B029,Processing,2025-10-20T10:33:00,2025-10-28T15:00:00,23.40,23.40,0.0,26.9,Completed
PE2905,B029,Grading,2025-10-27T15:00:00,2025-10-28T15:00:00,23.40,23.40,2.0,0.0,Completed
PE2906,B029,Output,2025-10-28T15:00:00,2025-10-28T18:00:00,23.40,23.40,1.0,0.0,Completed
PE3001,B030,Intake,2025-10-23T10:02:00,2025-10-23T16:02:00,80,80,1.0,0.0,Completed
PE3002,B030,Sorting,2025-10-23T16:02:00,2025-11-04T10:02:00,80,80,96.0,0.0,Completed
PE3003,B030,Inspection Hold,2025-11-04T10:02:00,,80,,88.0,0.0,Open
PE3101,B031,Intake,2025-11-06T09:44:00,2025-11-06T15:44:00,35.10,35.10,1.0,0.0,Completed
PE3102,B031,Sorting,2025-11-06T15:44:00,2025-11-11T09:44:00,35.10,35.10,35.1,0.0,Completed
PE3103,B031,Inspection Hold,2025-11-11T09:44:00,2025-11-13T09:44:00,35.10,35.10,10.5,0.0,Completed
PE3104,B031,Processing,2025-11-14T09:44:00,2025-11-24T15:00:00,35.10,35.10,0.0,40.4,Completed
PE3105,B031,Grading,2025-11-23T15:00:00,2025-11-24T15:00:00,35.10,35.10,2.0,0.0,Completed
PE3106,B031,Output,2025-11-24T15:00:00,2025-11-24T18:00:00,35.10,35.10,1.0,0.0,Completed
PE3201,B032,Intake,2025-11-16T07:47:00,2025-11-16T13:47:00,34.10,34.10,1.0,0.0,Completed
PE3301,B033,Intake,2025-11-25T10:16:00,2025-11-25T16:16:00,12.40,12.40,1.0,0.0,Completed
PE3302,B033,Sorting,2025-11-25T16:16:00,2025-11-27T10:16:00,12.40,12.40,14.9,0.0,Completed
PE3303,B033,Inspection Hold,2025-11-27T10:16:00,2025-11-29T10:16:00,12.40,12.40,13.6,0.0,Completed
PE3401,B034,Intake,2025-12-03T10:38:00,2025-12-03T16:38:00,75,75,1.0,0.0,Completed
PE3402,B034,Sorting,2025-12-03T16:38:00,2025-12-17T10:38:00,75,75,105.0,0.0,Completed
PE3403,B034,Inspection Hold,2025-12-17T10:38:00,,16.00,,5.6,0.0,Open
PE3404,B034,Processing,2025-12-18T10:38:00,,59.00,,0.0,67.8,Open
PE3501,B035,Intake,2025-12-12T08:25:00,2025-12-12T14:25:00,34.10,34.10,1.0,0.0,Completed
PE3601,B036,Intake,2025-12-21T07:47:00,2025-12-21T13:47:00,12.40,12.40,1.0,0.0,Completed
PE3602,B036,Sorting,2025-12-21T13:47:00,2025-12-23T07:47:00,12.40,12.40,12.4,0.0,Completed
PE3603,B036,Inspection Hold,2025-12-23T07:47:00,2025-12-25T07:47:00,12.40,12.40,3.7,0.0,Completed
